# E_lo_GeV E_hi_GeV Aeff_m2 Aeff_err_m2
1.00000000e+04 1.41253754e+04 2.42120582e-04 1.01822995e-04
1.41253754e+04 1.99526231e+04 1.22661423e-02 7.99889762e-04
1.99526231e+04 2.81838293e+04 1.37242278e-01 3.17968221e-03
2.81838293e+04 3.98107171e+04 6.20999155e-01 8.60098353e-03
3.98107171e+04 5.62341325e+04 1.93757559e+00 1.87162122e-02
5.62341325e+04 7.94328235e+04 4.93722246e+00 3.66952002e-02
7.94328235e+04 1.12201845e+05 1.00759722e+01 6.39925469e-02
1.12201845e+05 1.58489319e+05 1.69536169e+01 1.02427431e-01
1.58489319e+05 2.23872114e+05 2.51015770e+01 1.50892507e-01
2.23872114e+05 3.16227766e+05 3.47352066e+01 2.18010250e-01
3.16227766e+05 4.46683592e+05 4.50960348e+01 2.99783751e-01
4.46683592e+05 6.30957344e+05 5.66241237e+01 3.97135952e-01
6.30957344e+05 8.91250938e+05 6.92236072e+01 5.19668593e-01
8.91250938e+05 1.25892541e+06 8.53861114e+01 6.98642514e-01
1.25892541e+06 1.77827941e+06 1.02033528e+02 9.01771961e-01
1.77827941e+06 2.51188643e+06 1.21096543e+02 1.17694447e+00
2.51188643e+06 3.54813389e+06 1.42173694e+02 1.49581134e+00
3.54813389e+06 5.01187234e+06 1.77125321e+02 2.14715425e+00
5.01187234e+06 7.07945784e+06 8.14431456e+02 2.89319187e+01
7.07945784e+06 1.00000000e+07 2.50117234e+02 3.64709208e+00
