# E_lo_GeV E_hi_GeV cosz_lo cosz_hi Aeff_m2 Aeff_err_m2 Nmc
1.00000000e+04 1.41253754e+04 -1.000000 -0.800000 0.00000000e+00 0.00000000e+00 0
1.00000000e+04 1.41253754e+04 -0.800000 -0.600000 2.48137207e-04 1.76170986e-04 2
1.00000000e+04 1.41253754e+04 -0.600000 -0.400000 6.87720086e-04 5.87671412e-04 2
1.00000000e+04 1.41253754e+04 -0.400000 -0.200000 7.79701707e-04 6.00932049e-04 3
1.00000000e+04 1.41253754e+04 -0.200000  0.000000 7.05646821e-04 5.47063986e-04 3
1.00000000e+04 1.41253754e+04  0.000000  0.200000 0.00000000e+00 0.00000000e+00 0
1.00000000e+04 1.41253754e+04  0.200000  0.400000 0.00000000e+00 0.00000000e+00 0
1.00000000e+04 1.41253754e+04  0.400000  0.600000 0.00000000e+00 0.00000000e+00 0
1.00000000e+04 1.41253754e+04  0.600000  0.800000 0.00000000e+00 0.00000000e+00 0
1.00000000e+04 1.41253754e+04  0.800000  1.000000 0.00000000e+00 0.00000000e+00 0
1.41253754e+04 1.99526231e+04 -1.000000 -0.800000 7.16853007e-03 1.99670142e-03 28
1.41253754e+04 1.99526231e+04 -0.800000 -0.600000 1.42408425e-02 3.14365448e-03 45
1.41253754e+04 1.99526231e+04 -0.600000 -0.400000 1.98894417e-02 3.26174679e-03 84
1.41253754e+04 1.99526231e+04 -0.400000 -0.200000 3.18985001e-02 4.22756105e-03 132
1.41253754e+04 1.99526231e+04 -0.200000  0.000000 2.20629250e-02 3.29370928e-03 110
1.41253754e+04 1.99526231e+04  0.000000  0.200000 1.67068131e-02 2.83810931e-03 74
1.41253754e+04 1.99526231e+04  0.200000  0.400000 5.87787361e-03 1.23923857e-03 30
1.41253754e+04 1.99526231e+04  0.400000  0.600000 3.49684627e-03 9.50754410e-04 15
1.41253754e+04 1.99526231e+04  0.600000  0.800000 1.14394989e-03 4.77301150e-04 6
1.41253754e+04 1.99526231e+04  0.800000  1.000000 1.75700269e-04 1.75700269e-04 1
1.99526231e+04 2.81838293e+04 -1.000000 -0.800000 1.03686134e-01 9.74308565e-03 296
1.99526231e+04 2.81838293e+04 -0.800000 -0.600000 1.48632920e-01 1.14608974e-02 391
1.99526231e+04 2.81838293e+04 -0.600000 -0.400000 1.98336828e-01 1.37105698e-02 521
1.99526231e+04 2.81838293e+04 -0.400000 -0.200000 2.09590847e-01 1.38618940e-02 601
1.99526231e+04 2.81838293e+04 -0.200000  0.000000 2.01532127e-01 1.26017529e-02 697
1.99526231e+04 2.81838293e+04  0.000000  0.200000 1.78103830e-01 1.13540425e-02 598
1.99526231e+04 2.81838293e+04  0.200000  0.400000 1.46382829e-01 7.76922419e-03 500
1.99526231e+04 2.81838293e+04  0.400000  0.600000 9.22763914e-02 5.52162419e-03 324
1.99526231e+04 2.81838293e+04  0.600000  0.800000 6.06058044e-02 4.22018763e-03 223
