# Etrue_lo Etrue_hi Etrue_center bias_log10 sigma_log10 n_eff
1.00000000e+04 1.41253754e+04 1.18850223e+04 7.29136301e-03 2.58646454e-02 5.654207e+00
1.41253754e+04 1.99526231e+04 1.67880402e+04 3.20106547e-03 5.51999127e-02 2.351558e+02
1.99526231e+04 2.81838293e+04 2.37137371e+04 -9.73198098e-03 5.20837710e-02 1.862436e+03
2.81838293e+04 3.98107171e+04 3.34965439e+04 -2.66127098e-02 7.15236303e-02 5.212213e+03
3.98107171e+04 5.62341325e+04 4.73151259e+04 -3.85632724e-02 9.01934083e-02 1.071611e+04
5.62341325e+04 7.94328235e+04 6.68343918e+04 -4.77842315e-02 1.06076316e-01 1.810030e+04
7.94328235e+04 1.12201845e+05 9.44060876e+04 -6.33835015e-02 1.21966854e-01 2.478525e+04
1.12201845e+05 1.58489319e+05 1.33352143e+05 -8.80556861e-02 1.48773297e-01 2.738837e+04
1.58489319e+05 2.23872114e+05 1.88364909e+05 -1.25274895e-01 1.82700143e-01 2.766637e+04
2.23872114e+05 3.16227766e+05 2.66072506e+05 -1.60052764e-01 2.16145181e-01 2.536614e+04
3.16227766e+05 4.46683592e+05 3.75837404e+05 -1.94851989e-01 2.51039729e-01 2.260582e+04
4.46683592e+05 6.30957344e+05 5.30884444e+05 -2.33054780e-01 2.86377943e-01 2.033364e+04
6.30957344e+05 8.91250938e+05 7.49894209e+05 -2.69218549e-01 3.20896381e-01 1.773191e+04
8.91250938e+05 1.25892541e+06 1.05925373e+06 -3.06182301e-01 3.55154058e-01 1.491557e+04
1.25892541e+06 1.77827941e+06 1.49623566e+06 -3.37226400e-01 3.88533129e-01 1.278271e+04
1.77827941e+06 2.51188643e+06 2.11348904e+06 -3.61024609e-01 4.20352211e-01 1.055304e+04
2.51188643e+06 3.54813389e+06 2.98538262e+06 -3.88293435e-01 4.53622904e-01 9.003846e+03
3.54813389e+06 5.01187234e+06 4.21696503e+06 -4.20820318e-01 4.96091689e-01 6.772307e+03
5.01187234e+06 7.07945784e+06 5.95662144e+06 -3.47665785e-01 5.43725386e-01 7.869357e+02
7.07945784e+06 1.00000000e+07 8.41395142e+06 -5.12185772e-01 5.48190919e-01 4.358952e+03
