# Etrue_lo Etrue_hi Etrue_center bias_log10 sigma_log10 n_eff
1.00000000e+04 1.41253754e+04 1.18850223e+04 7.29136301e-03 2.58646454e-02 5.654207e+00
1.41253754e+04 1.99526231e+04 1.67880402e+04 4.83486553e-03 5.15232070e-02 2.160217e+02
1.99526231e+04 2.81838293e+04 2.37137371e+04 -9.06726854e-03 5.10396343e-02 1.711830e+03
2.81838293e+04 3.98107171e+04 3.34965439e+04 -2.34956960e-02 6.94506793e-02 4.680564e+03
3.98107171e+04 5.62341325e+04 4.73151259e+04 -3.39726538e-02 8.58721618e-02 9.441264e+03
5.62341325e+04 7.94328235e+04 6.68343918e+04 -3.95881844e-02 9.87387600e-02 1.548740e+04
7.94328235e+04 1.12201845e+05 9.44060876e+04 -5.24287738e-02 1.14079896e-01 2.042740e+04
1.12201845e+05 1.58489319e+05 1.33352143e+05 -7.09754608e-02 1.38890229e-01 2.168915e+04
1.58489319e+05 2.23872114e+05 1.88364909e+05 -9.87529732e-02 1.70917174e-01 2.068930e+04
2.23872114e+05 3.16227766e+05 2.66072506e+05 -1.23744498e-01 2.04605092e-01 1.781958e+04
3.16227766e+05 4.46683592e+05 3.75837404e+05 -1.50604569e-01 2.38739896e-01 1.515576e+04
4.46683592e+05 6.30957344e+05 5.30884444e+05 -1.85890927e-01 2.78625907e-01 1.299990e+04
6.30957344e+05 8.91250938e+05 7.49894209e+05 -2.21161906e-01 3.23448505e-01 1.090621e+04
8.91250938e+05 1.25892541e+06 1.05925373e+06 -2.57308159e-01 3.64049167e-01 9.170635e+03
1.25892541e+06 1.77827941e+06 1.49623566e+06 -2.92776283e-01 4.06365674e-01 7.572166e+03
1.77827941e+06 2.51188643e+06 2.11348904e+06 -3.24613268e-01 4.43420418e-01 6.481702e+03
2.51188643e+06 3.54813389e+06 2.98538262e+06 -3.46553628e-01 4.84372477e-01 5.304123e+03
3.54813389e+06 5.01187234e+06 4.21696503e+06 -3.81661190e-01 5.24453864e-01 3.761983e+03
5.01187234e+06 7.07945784e+06 5.95662144e+06 -2.71904529e-01 4.97834908e-01 5.485995e+02
7.07945784e+06 1.00000000e+07 8.41395142e+06 -4.68266343e-01 5.83058321e-01 2.538218e+03
