# Etrue_lo Etrue_hi Etrue_center bias_log10 sigma_log10 n_eff
1.00000000e+04 1.41253754e+04 1.18850223e+04 nan nan 0.000000e+00
1.41253754e+04 1.99526231e+04 1.67880402e+04 1.38996218e-02 7.14236577e-02 1.278373e+01
1.99526231e+04 2.81838293e+04 2.37137371e+04 -1.89380627e-02 5.99777855e-02 1.066629e+02
2.81838293e+04 3.98107171e+04 3.34965439e+04 -5.72922453e-02 8.54669339e-02 4.341806e+02
3.98107171e+04 5.62341325e+04 4.73151259e+04 -7.91069843e-02 1.14954140e-01 1.078867e+03
5.62341325e+04 7.94328235e+04 6.68343918e+04 -1.04435683e-01 1.32769389e-01 2.327247e+03
7.94328235e+04 1.12201845e+05 9.44060876e+04 -1.28588649e-01 1.45513115e-01 3.893980e+03
1.12201845e+05 1.58489319e+05 1.33352143e+05 -1.72148986e-01 1.69506108e-01 5.243470e+03
1.58489319e+05 2.23872114e+05 1.88364909e+05 -2.24888962e-01 1.95636505e-01 6.249890e+03
2.23872114e+05 3.16227766e+05 2.66072506e+05 -2.75472445e-01 2.19757497e-01 6.730096e+03
3.16227766e+05 4.46683592e+05 3.75837404e+05 -3.30643640e-01 2.54380025e-01 6.379653e+03
4.46683592e+05 6.30957344e+05 5.30884444e+05 -3.75944920e-01 2.84037882e-01 6.360337e+03
6.30957344e+05 8.91250938e+05 7.49894209e+05 -4.07078741e-01 3.06799212e-01 5.617194e+03
8.91250938e+05 1.25892541e+06 1.05925373e+06 -4.53829791e-01 3.33560831e-01 4.747988e+03
1.25892541e+06 1.77827941e+06 1.49623566e+06 -4.82273854e-01 3.58797187e-01 4.262834e+03
1.77827941e+06 2.51188643e+06 2.11348904e+06 -4.98450329e-01 3.89631943e-01 3.389981e+03
2.51188643e+06 3.54813389e+06 2.98538262e+06 -5.34015318e-01 4.05917869e-01 2.961426e+03
3.54813389e+06 5.01187234e+06 4.21696503e+06 -5.56255786e-01 4.57920137e-01 2.359624e+03
5.01187234e+06 7.07945784e+06 5.95662144e+06 -8.15093071e-01 5.89336148e-01 1.811748e+02
7.07945784e+06 1.00000000e+07 8.41395142e+06 -6.62414976e-01 4.89016739e-01 1.385215e+03
