livetime_years,norm_width_mean,norm_width_q16,norm_width_q84,gamma_mean_over_trials
1.000000000000000000e+00,1.226997918783748059e-01,1.197580404011869964e-01,1.261762583878247024e-01,2.676328859162690588e+00
1.519911082952933645e+00,1.156330563833821157e-01,1.082549638539687387e-01,1.226177252772571308e-01,2.713716016691515964e+00
2.310129700083159765e+00,1.073924362418611916e-01,1.045977433605597279e-01,1.112991024207797275e-01,2.550472775064239528e+00
3.511191734215131088e+00,1.090473874793895098e-01,1.040599666458350420e-01,1.142703431162707395e-01,2.647264990526401629e+00
5.336699231206309513e+00,9.568154329237561762e-02,8.551815121374296835e-02,1.051645945394084070e-01,2.568889015346185634e+00
8.111308307896871739e+00,1.006465018856068511e-01,9.651915395524358898e-02,1.055111951219771388e-01,2.667500681812109864e+00
1.232846739442065953e+01,7.965539034095532600e-02,6.159695401525735331e-02,9.937103421828627492e-02,2.533853002341249994e+00
1.873817422860383886e+01,8.510670151623617175e-02,7.445248604263321468e-02,9.442449599530028381e-02,2.668354636451127693e+00
2.848035868435801987e+01,7.279149669828438585e-02,4.947909989119961272e-02,9.659759203158310714e-02,2.556699897270380273e+00
4.328761281083059487e+01,6.390955746612404786e-02,4.472269135880487662e-02,8.680244962059868730e-02,2.569297602082875276e+00
6.579332246575683030e+01,5.354722732535802110e-02,4.102959747487271852e-02,7.315342004974779988e-02,2.463284840136493070e+00
1.000000000000000000e+02,4.951738047776694379e-02,3.542585157254946049e-02,6.489750704684840721e-02,2.565738987995334508e+00
