prior_type,phi_mult,phi_true,gamma_true,seed,gamma_post_mean,gamma_ci_lo,gamma_ci_hi,gamma_ci_width,gamma_bias,gamma_covered_90,accept_rate,rhat_max,n_events
flat,0.3,6.179999999999999e-19,2.1,0,1.92369406756535,1.439064118386256,2.302185319482984,0.8631212010967282,-0.1763059324346501,1.0,0.610575,1.1964978512282314,973
flat,0.3,6.179999999999999e-19,2.1,1,2.641435443238957,1.8567529331828063,4.38563004345343,2.528877110270624,0.5414354432389574,1.0,0.5841333333333334,1.2046573200947777,985
flat,0.3,6.179999999999999e-19,2.1,2,2.182620618767665,1.6513345240328146,2.7475868529880376,1.096252328955223,0.082620618767665,1.0,0.6327,1.4306669645740369,1033
flat,0.3,6.179999999999999e-19,2.1,3,3.484127796343804,2.240844313896146,4.55067766607225,2.309833352176104,1.384127796343804,0.0,0.5415000000000001,1.23381847859388,995
flat,0.3,6.179999999999999e-19,2.1,4,2.52204114833663,1.4767252713855117,4.1248834409544965,2.648158169568985,0.4220411483366297,1.0,0.6554916666666667,1.3518123614802091,971
flat,0.3,6.179999999999999e-19,2.3,0,3.099808099148341,1.9764258361090328,4.433376986706182,2.456951150597149,0.7998080991483412,1.0,0.6682583333333333,1.5109905544326967,959
flat,0.3,6.179999999999999e-19,2.3,1,3.4802848844864798,2.2780531594699616,4.39384054544809,2.1157873859781287,1.1802848844864795,1.0,0.6287499999999999,1.1426701682726756,977
flat,0.3,6.179999999999999e-19,2.3,2,2.5927239442572803,1.5417884349062607,4.143708617869644,2.601920182963383,0.2927239442572804,1.0,0.6388416666666666,1.4499722780228497,1014
flat,0.3,6.179999999999999e-19,2.3,3,3.661766861429966,2.527148190658831,4.518235352539069,1.991087161880238,1.3617668614299665,0.0,0.590225,1.10918256320067,983
flat,0.3,6.179999999999999e-19,2.3,4,3.337758325869555,2.145482008081361,4.400632461437402,2.2551504533560407,1.037758325869555,1.0,0.5668083333333334,1.2367679895878398,961
flat,0.3,6.179999999999999e-19,2.5,0,2.813710662999174,2.2658658634753683,4.062920238763794,1.7970543752884254,0.3137106629991741,1.0,0.9929375,2.955016426353241,950
flat,0.3,6.179999999999999e-19,2.5,1,2.9120242696624112,2.412130713652743,3.572919433306321,1.1607887196535782,0.4120242696624112,1.0,0.99475,2.870874570908676,969
flat,0.3,6.179999999999999e-19,2.5,2,2.6634641694517365,2.262102637568313,3.049779211930912,0.7876765743625991,0.1634641694517364,1.0,0.992625,2.5313165254044385,1003
flat,0.3,6.179999999999999e-19,2.5,3,3.753549428892823,2.657208504218008,4.645812928464831,1.9886044242468224,1.253549428892823,0.0,0.6077166666666667,1.0495204341403472,974
flat,0.3,6.179999999999999e-19,2.5,4,3.3051109536048235,2.1745019705028152,4.410089553773774,2.2355875832709584,0.8051109536048235,1.0,0.5937916666666666,1.3306930952304807,949
flat,0.3,6.179999999999999e-19,2.7,0,3.6137658241748607,2.6287428123236416,4.442586325129525,1.813843512805884,0.9137658241748604,1.0,0.5773333333333333,1.2111538327783635,942
flat,0.3,6.179999999999999e-19,2.7,1,3.5766563946478045,2.5792355792361747,4.4352799010631285,1.8560443218269536,0.8766563946478043,1.0,0.5739583333333333,1.221742022614603,952
flat,0.3,6.179999999999999e-19,2.7,2,3.580715946160121,2.69994910590074,4.455427277087701,1.7554781711869607,0.8807159461601213,1.0,0.6645249999999999,1.1940811659841073,993
flat,0.3,6.179999999999999e-19,2.7,3,3.78549779156451,2.993744411707929,4.665537062906492,1.671792651198563,1.0854977915645097,0.0,0.5842,1.3763235717214275,967
flat,0.3,6.179999999999999e-19,2.7,4,3.4630517017758504,2.708701614227888,4.091619422162506,1.3829178079346187,0.7630517017758502,0.0,0.5891666666666666,1.4712883313409677,942
flat,0.3,6.179999999999999e-19,2.9,0,3.49084020019284,2.409243627782839,4.451173215373331,2.0419295875904924,0.5908402001928401,1.0,0.5686083333333334,1.269871191078377,941
flat,0.3,6.179999999999999e-19,2.9,1,3.4902530967813306,2.8087649243931616,4.071519977413592,1.2627550530204306,0.5902530967813306,1.0,0.6106583333333333,1.0833370540374712,956
flat,0.3,6.179999999999999e-19,2.9,2,3.543884240138997,2.9453620340445705,4.045591532934204,1.1002294988896335,0.643884240138997,0.0,0.5922333333333334,1.143248335355438,990
flat,0.3,6.179999999999999e-19,2.9,3,3.647590735527441,2.792859312935033,4.414705659890588,1.621846346955555,0.7475907355274409,1.0,0.5618166666666666,1.1363798499058524,964
flat,0.3,6.179999999999999e-19,2.9,4,3.502068203901106,2.921121476972798,4.111198162746322,1.190076685773524,0.6020682039011067,0.0,0.6572833333333334,1.175104382571745,953
flat,0.5,1.03e-18,2.1,0,2.0110547204304976,1.608791115716642,2.32723580927448,0.7184446935578377,-0.0889452795695024,1.0,0.6104666666666667,1.1534194026672562,1025
flat,0.5,1.03e-18,2.1,1,2.285080870968065,1.8373703973726856,2.806415058968886,0.9690446615962004,0.1850808709680649,1.0,0.62485,1.132758095549173,1030
flat,0.5,1.03e-18,2.1,2,2.513464221494592,1.927226481761953,3.995216446637848,2.0679899648758946,0.4134642214945918,1.0,0.5841833333333333,1.4535745485528797,1079
flat,0.5,1.03e-18,2.1,3,2.421476345549661,1.9060250267432288,3.996356970110362,2.090331943367133,0.3214763455496614,1.0,0.5949666666666666,1.1791444913498816,1048
flat,0.5,1.03e-18,2.1,4,2.8827667686226843,1.982045316097592,4.286304213864828,2.3042588977672365,0.7827667686226842,1.0,0.6297666666666666,1.3987191078583316,1024
flat,0.5,1.03e-18,2.3,0,2.9075292170746443,1.9166063992907505,4.273786344603435,2.3571799453126845,0.6075292170746445,1.0,0.6586583333333333,1.1812461382689543,995
flat,0.5,1.03e-18,2.3,1,3.37299389814498,2.234414286914356,4.434715047849525,2.200300760935169,1.07299389814498,1.0,0.6132666666666666,1.1411850325650434,1013
flat,0.5,1.03e-18,2.3,2,2.8601454667241994,1.7732376703784871,4.324367110048325,2.551129439669838,0.5601454667241996,1.0,0.6868916666666667,1.4130829969295566,1060
flat,0.5,1.03e-18,2.3,3,3.5527502833233435,2.287715544220348,4.661580966465167,2.3738654222448194,1.2527502833233437,1.0,0.5810166666666666,1.22139746283481,1021
flat,0.5,1.03e-18,2.3,4,2.787311409630041,1.577658224603166,4.239126482628216,2.6614682580250504,0.487311409630041,1.0,0.6326499999999999,1.3062762751670225,998
