Truth Model,Param,True,MLE,MLE CI Lo,MLE CI Hi,MLE Covered,MLE Bias,Bayes Mean,Bayes CI Lo,Bayes CI Hi,Bayes Covered,Bayes Bias
SPL Truth,φ,2.0600e-18,2.6038e-18,4.6158e-19,1.4689e-17,YES,+0.0000,2.0123e-18,7.4574e-19,3.8672e-18,YES,-0.0000
SPL Truth,γ,2.5000,2.6437,2.0562,3.2312,YES,+0.1437,2.5558,2.2595,2.8482,YES,+0.0558
SPL Truth,η,1.0000e-17,8.3084e-18,4.5796e-18,1.5073e-17,YES,-0.0000,9.0851e-18,7.0878e-18,1.0716e-17,YES,-0.0000
SPL Truth,δ,3.7000,3.8198,3.4408,4.1987,YES,+0.1198,3.7491,3.6105,3.9066,YES,+0.0491
BPL Truth,φ,2.0600e-18,7.7306e-18,1.0211e-18,5.8527e-17,YES,+0.0000,1.6760e-18,5.1885e-19,3.5533e-18,YES,-0.0000
BPL Truth,γ,2.5000,3.3118,2.4300,4.1937,YES,+0.8118,2.8285,2.4560,3.2226,YES,+0.3285
BPL Truth,η,1.0000e-17,2.5585e-18,6.6870e-21,9.7887e-16,YES,-0.0000,8.8088e-18,6.8351e-18,1.0300e-17,YES,-0.0000
BPL Truth,δ,3.7000,4.3320,1.6953,6.9687,YES,+0.6320,3.7621,3.6321,3.9097,YES,+0.0621
Cutoff Truth,φ,2.0600e-18,1.0924e-17,9.3289e-18,1.2791e-17,NO,+0.0000,2.0123e-18,7.4574e-19,3.8672e-18,YES,-0.0000
Cutoff Truth,γ,2.5000,3.4619,3.2654,3.6584,NO,+0.9619,2.5558,2.2595,2.8482,YES,+0.0558
Cutoff Truth,η,1.0000e-17,1.2318e-19,1.1185e-22,1.3565e-16,YES,-0.0000,9.0851e-18,7.0878e-18,1.0716e-17,YES,-0.0000
Cutoff Truth,δ,3.7000,5.8934,1.9551,9.8316,YES,+2.1934,3.7491,3.6105,3.9066,YES,+0.0491
