Truth Model,Prior,Sampler,True γ,Post. Mean,90% CI Lo,90% CI Hi,Covered,Bias
SPL,Normal/Log-Normal,RWMH,2.5,2.556,2.254,2.856,YES,0.056
SPL,Normal/Log-Normal,MALA,2.5,2.556,2.259,2.848,YES,0.056
SPL,Flat,RWMH,2.5,2.62,2.211,2.983,YES,0.12
SPL,Flat,MALA,2.5,2.634,2.227,2.981,YES,0.134
SPL,Log-Normal γ,RWMH,2.5,2.591,2.2,2.945,YES,0.091
SPL,Log-Normal γ,MALA,2.5,2.604,2.24,2.93,YES,0.104
BPL,Normal/Log-Normal,RWMH,2.5,2.821,2.444,3.22,YES,0.321
BPL,Normal/Log-Normal,MALA,2.5,2.828,2.456,3.223,YES,0.328
BPL,Flat,RWMH,2.5,3.579,2.539,5.256,NO,1.079
BPL,Flat,MALA,2.5,3.562,2.62,5.284,NO,1.062
BPL,Log-Normal γ,RWMH,2.5,2.947,2.36,3.527,YES,0.447
BPL,Log-Normal γ,MALA,2.5,2.974,2.421,3.568,YES,0.474
Cutoff,Normal/Log-Normal,RWMH,2.5,2.556,2.254,2.856,YES,0.056
Cutoff,Normal/Log-Normal,MALA,2.5,2.556,2.259,2.848,YES,0.056
Cutoff,Flat,RWMH,2.5,3.286,2.586,4.19,NO,0.786
Cutoff,Flat,MALA,2.5,3.354,2.689,4.395,NO,0.854
Cutoff,Log-Normal γ,RWMH,2.5,3.012,2.47,3.54,YES,0.512
Cutoff,Log-Normal γ,MALA,2.5,3.06,2.492,3.564,YES,0.56
